Product,Name,Rating,CommentHead,Comment
iphone,Flipkart Customer,No Rating,No Comment Heading,Super and cool photo
iphone,Amit Kumar Chaudhary,No Rating,No Comment Heading,Satisfied
iphone,Ravi Arya,No Rating,No Comment Heading,I love it ❤️❤️
iphone,Swagatika Hota,No Rating,No Comment Heading,such a beautiful color 🩷🥺😍
iphone,Santanu Borah,No Rating,No Comment Heading,"Compact, easy to carry. Like it"
iphone,Shivm Sharma,No Rating,No Comment Heading,Best device from Apple ❤️ Its much smoother than the previous model
iphone,Pranesha Mahajan,No Rating,No Comment Heading,Great phone
iphone,Taksh Kirar,No Rating,No Comment Heading,Such an great experience
iphone,Rajat Kumar Biswal,No Rating,No Comment Heading,Great Camera Beautiful Colour Value for Money Perfect Display
iphone,Gope Jaat,No Rating,No Comment Heading,Super and safe
iphone,No Name,No Rating,No Comment Heading,No Comment
